ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-05-16 15:15:52 547m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 2.198702
1 2E-8 -0.63904144
2 4E-8 -3.0094858
3 6E-8 0.51722416
4 8E-8 -2.667998
5 1E-7 -0.82675986
6 1.2E-7 -0.54518223
7 1.4E-7 -2.9535696
8 1.6E-7 0.12780829
9 1.8E-7 1.2281578
10 2E-7 -1.759361
11 2.2E-7 -0.023964054
12 2.4E-7 -0.38142786
13 2.6E-7 0.72491263
14 2.8E-7 -0.03994009
15 3E-7 0.067898153
16 3.2E-7 -0.043934099
17 3.4E-7 -0.16974538
18 3.6E-7 0.61907139
19 3.8E-7 0.13579631
20 4E-7 0.64503245
21 4.2E-7 -0.081877184
22 4.4E-7 0.42536196
23 4.6E-7 0.43934099
24 4.8E-7 0.41737394
25 5E-7 0.05791313
26 5.2E-7 0.51123315
27 5.4E-7 0.50324513
28 5.6E-7 0.34548178
29 5.8E-7 0.54717923
30 6E-7 0.28357464
31 6.2E-7 0.40539191
32 6.4E-7 0.32551173
33 6.6E-7 0.52121817
34 6.8E-7 0.15376935
35 7E-7 0.57314029
36 7.2E-7 -0.16575137
37 7.4E-7 0.84672991
38 7.6E-7 0.4013979
39 7.8E-7 0.05791313
40 8E-7 0.6669995
41 8.2E-7 0.42935597
42 8.4E-7 0.14977534
43 8.6E-7 0.67698452
44 8.8E-7 0.015976036
45 9E-7 0.86070894
46 9.2E-7 -0.045931103
47 9.4E-7 0.85272092
48 9.6E-7 0.15177234
49 9.8E-7 0.55916126
50 1E-6 0.3095357
51 1.02E-6 0.41737394
52 1.04E-6 0.61308038
53 1.06E-6 0.29355966
54 1.08E-6 0.68497254
55 1.1E-6 0.26360459
56 1.12E-6 0.69495756
57 1.14E-6 0.23764354
58 1.16E-6 0.68896655
59 1.18E-6 0.28956565
60 1.2E-6 0.55716425
61 1.22E-6 0.43934099
62 1.24E-6 0.45531703
63 1.26E-6 0.50524214
64 1.28E-6 0.34947579
65 1.3E-6 0.57513729
66 1.32E-6 0.24762856
67 1.34E-6 0.58711932
68 1.36E-6 0.24962556
69 1.38E-6 0.51922117
70 1.4E-6 0.30753869
71 1.42E-6 0.44932601
72 1.44E-6 0.36744883
73 1.46E-6 0.37543685
74 1.48E-6 0.41737394
75 1.5E-6 0.27758362
76 1.52E-6 0.43934099
77 1.54E-6 0.26360459
78 1.56E-6 0.443335
79 1.58E-6 0.22965552
80 1.6E-6 0.40938592
81 1.62E-6 0.26959561
82 1.64E-6 0.35147279
83 1.66E-6 0.29156266
84 1.68E-6 0.28357464
85 1.7E-6 0.31352971
86 1.72E-6 0.25761358
87 1.74E-6 0.35147279
88 1.76E-6 0.22965552
89 1.78E-6 0.32950574
90 1.8E-6 0.21567649
91 1.82E-6 0.30753869
92 1.84E-6 0.22965552
93 1.86E-6 0.29355966
94 1.88E-6 0.26360459
95 1.9E-6 0.25761358
96 1.92E-6 0.28357464
97 1.94E-6 0.22566151
98 1.96E-6 0.27558662
99 1.98E-6 0.20768847
100 2E-6 0.2656016
101 2.02E-6 0.21567649
102 2.04E-6 0.26360459
