ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-05-16 15:25:26 680m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 2.305359
1 2E-8 -1.6299293
2 4E-8 -3.3003034
3 6E-8 0.3842265
4 8E-8 -3.1991912
5 1E-7 0.11729019
6 1.2E-7 -0.89787666
7 1.4E-7 -3.0171891
8 1.6E-7 0.036400405
9 1.8E-7 1.2497472
10 2E-7 -2.09909
11 2.2E-7 0.29929222
12 2.4E-7 -0.61071791
13 2.6E-7 0.50151669
14 2.8E-7 -0.12942366
15 3E-7 -0.036400405
16 3.2E-7 -0.12133468
17 3.4E-7 -0.32760365
18 3.6E-7 0.59858444
19 3.8E-7 -0.10111224
20 4E-7 0.66734076
21 4.2E-7 -0.40444895
22 4.4E-7 0.48533874
23 4.6E-7 0.2305359
24 4.8E-7 0.30333671
25 5E-7 -0.0040444895
26 5.2E-7 0.36400405
27 5.4E-7 0.45702731
28 5.6E-7 0.088978768
29 5.8E-7 0.64307383
30 6E-7 -0.064711832
31 6.2E-7 0.45702731
32 6.4E-7 0.10920122
33 6.6E-7 0.50960567
34 6.8E-7 -0.044489384
35 7E-7 0.5379171
36 7.2E-7 -0.28715875
37 7.4E-7 0.74014157
38 7.6E-7 0.36804854
39 7.8E-7 -0.093023258
40 8E-7 0.68351872
41 8.2E-7 0.25075835
42 8.4E-7 0.12942366
43 8.6E-7 0.48533874
44 8.8E-7 0.0080889789
45 9E-7 0.66329627
46 9.2E-7 -0.093023258
47 9.4E-7 0.68756321
48 9.6E-7 0.060667342
49 9.8E-7 0.47724976
50 1E-6 0.14560162
51 1.02E-6 0.39231548
52 1.04E-6 0.4206269
53 1.06E-6 0.23458039
54 1.08E-6 0.53387261
55 1.1E-6 0.18200203
56 1.12E-6 0.56218404
57 1.14E-6 0.14155713
58 1.16E-6 0.58240648
59 1.18E-6 0.16582407
60 1.2E-6 0.4610718
61 1.22E-6 0.32355916
62 1.24E-6 0.36400405
63 1.26E-6 0.39231548
64 1.28E-6 0.24671386
65 1.3E-6 0.46511629
66 1.32E-6 0.16177958
67 1.34E-6 0.47320527
68 1.36E-6 0.16986856
69 1.38E-6 0.4206269
70 1.4E-6 0.21840243
71 1.42E-6 0.34782609
72 1.44E-6 0.27906977
73 1.46E-6 0.23862488
74 1.48E-6 0.31142569
75 1.5E-6 0.16986856
76 1.52E-6 0.34782609
77 1.54E-6 0.13346815
78 1.56E-6 0.33973712
79 1.58E-6 0.12942366
80 1.6E-6 0.29120324
81 1.62E-6 0.16177958
82 1.64E-6 0.20626896
83 1.66E-6 0.22649141
84 1.68E-6 0.14155713
85 1.7E-6 0.25075835
86 1.72E-6 0.11324571
87 1.74E-6 0.27098079
88 1.76E-6 0.10515673
89 1.78E-6 0.22649141
90 1.8E-6 0.12133468
91 1.82E-6 0.18604652
92 1.84E-6 0.16177958
93 1.86E-6 0.1536906
94 1.88E-6 0.19413549
95 1.9E-6 0.11324571
96 1.92E-6 0.20626896
97 1.94E-6 0.088978768
98 1.96E-6 0.18604652
99 1.98E-6 0.080889789
100 2E-6 0.16582407
101 2.02E-6 0.11324571
102 2.04E-6 0.14560162
