ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-05-16 15:22:50 017m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 1.9494439
1 2E-8 0.38827099
2 4E-8 -2.7745198
3 6E-8 -1.4843276
4 8E-8 -0.21840243
5 1E-7 -2.6410516
6 1.2E-7 1.6582407
7 1.4E-7 -2.8230536
8 1.6E-7 0.14560162
9 1.8E-7 1.4115268
10 2E-7 -1.6420627
11 2.2E-7 -0.67138525
12 2.4E-7 -0.62285138
13 2.6E-7 0.62689587
14 2.8E-7 -0.18200203
15 3E-7 0.33973712
16 3.2E-7 -0.44893833
17 3.4E-7 0.2305359
18 3.6E-7 -0.11324571
19 3.8E-7 0.63902934
20 4E-7 0.20222447
21 4.2E-7 0.14560162
22 4.4E-7 0.21840243
23 4.6E-7 0.31547018
24 4.8E-7 0.6511628
25 5E-7 -0.31142569
26 5.2E-7 0.75631953
27 5.4E-7 0.10920122
28 5.6E-7 0.62285138
29 5.8E-7 0.21840243
30 6E-7 0.55813955
31 6.2E-7 0.11729019
32 6.4E-7 0.40444895
33 6.6E-7 0.48129425
34 6.8E-7 0.020222447
35 7E-7 0.59858444
36 7.2E-7 -0.052578363
37 7.4E-7 0.27502528
38 7.6E-7 0.94641054
39 7.8E-7 -0.27502528
40 8E-7 0.63498485
41 8.2E-7 0.43276037
42 8.4E-7 0.18604652
43 8.6E-7 0.47724976
44 8.8E-7 0.15773509
45 9E-7 0.70374117
46 9.2E-7 -0.048533874
47 9.4E-7 0.83316483
48 9.6E-7 0.0768453
49 9.8E-7 0.60262893
50 1E-6 0.15773509
51 1.02E-6 0.49342772
52 1.04E-6 0.41253793
53 1.06E-6 0.42871588
54 1.08E-6 0.47724976
55 1.1E-6 0.32760365
56 1.12E-6 0.59453995
57 1.14E-6 0.18604652
58 1.16E-6 0.70778566
59 1.18E-6 0.18604652
60 1.2E-6 0.59453995
61 1.22E-6 0.2669363
62 1.24E-6 0.55409506
63 1.26E-6 0.32760365
64 1.28E-6 0.41658242
65 1.3E-6 0.45298282
66 1.32E-6 0.29929222
67 1.34E-6 0.51769465
68 1.36E-6 0.22244692
69 1.38E-6 0.51769465
70 1.4E-6 0.19413549
71 1.42E-6 0.50960567
72 1.44E-6 0.22649141
73 1.46E-6 0.45298282
74 1.48E-6 0.26289182
75 1.5E-6 0.3437816
76 1.52E-6 0.31142569
77 1.54E-6 0.26289182
78 1.56E-6 0.38827099
79 1.58E-6 0.17391305
80 1.6E-6 0.41253793
81 1.62E-6 0.16177958
82 1.64E-6 0.38827099
83 1.66E-6 0.16177958
84 1.68E-6 0.32355916
85 1.7E-6 0.19817998
86 1.72E-6 0.28715875
87 1.74E-6 0.25075835
88 1.76E-6 0.22649141
89 1.78E-6 0.2669363
90 1.8E-6 0.16986856
91 1.82E-6 0.29120324
92 1.84E-6 0.16177958
93 1.86E-6 0.29524773
94 1.88E-6 0.16177958
95 1.9E-6 0.27906977
96 1.92E-6 0.18604652
97 1.94E-6 0.23458039
98 1.96E-6 0.19413549
99 1.98E-6 0.18604652
100 2E-6 0.23458039
101 2.02E-6 0.1536906
102 2.04E-6 0.25480284
