ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-05-16 15:37:25 859m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 2.0708937
1 2E-8 -0.49725412
2 4E-8 -3.0833749
3 6E-8 -0.15177234
4 8E-8 -2.1427858
5 1E-7 -0.46130804
6 1.2E-7 0.45332002
7 1.4E-7 -2.8137793
8 1.6E-7 -0.25361957
9 1.8E-7 1.1083375
10 2E-7 -1.4877683
11 2.2E-7 -0.12581128
12 2.4E-7 -0.36145781
13 2.6E-7 0.46130804
14 2.8E-7 -0.2216675
15 3E-7 0.067898153
16 3.2E-7 -0.14777833
17 3.4E-7 -0.18572142
18 3.6E-7 0.32551173
19 3.8E-7 0.09785322
20 4E-7 0.37743385
21 4.2E-7 -0.041937094
22 4.4E-7 0.1797304
23 4.6E-7 0.33349975
24 4.8E-7 0.21168248
25 5E-7 0.013979031
26 5.2E-7 0.29355966
27 5.4E-7 0.36345482
28 5.6E-7 0.17174239
29 5.8E-7 0.3554668
30 6E-7 0.18372441
31 6.2E-7 0.18971543
32 6.4E-7 0.23964054
33 6.6E-7 0.31952072
34 6.8E-7 0.055916126
35 7E-7 0.33150275
36 7.2E-7 0.10384423
37 7.4E-7 -0.07988018
38 7.6E-7 0.97453819
39 7.8E-7 -0.55317025
40 8E-7 0.63904144
41 8.2E-7 0.17373939
42 8.4E-7 0.17373939
43 8.6E-7 0.25561658
44 8.8E-7 0.15376935
45 9E-7 0.42136795
46 9.2E-7 -0.055916126
47 9.4E-7 0.59910135
48 9.6E-7 0.007988018
49 9.8E-7 0.4013979
50 1E-6 0.085871193
51 1.02E-6 0.31352971
52 1.04E-6 0.31552671
53 1.06E-6 0.24563155
54 1.08E-6 0.3574638
55 1.1E-6 0.20768847
56 1.12E-6 0.38741887
57 1.14E-6 0.13779331
58 1.16E-6 0.45931103
59 1.18E-6 0.1777334
60 1.2E-6 0.33349975
61 1.22E-6 0.27159261
62 1.24E-6 0.33349975
63 1.26E-6 0.24163754
64 1.28E-6 0.28557164
65 1.3E-6 0.30154768
66 1.32E-6 0.20968547
67 1.34E-6 0.29555667
68 1.36E-6 0.21767349
69 1.38E-6 0.25961058
70 1.4E-6 0.2236645
71 1.42E-6 0.24762856
72 1.44E-6 0.23364953
73 1.46E-6 0.21767349
74 1.48E-6 0.22965552
75 1.5E-6 0.18771842
76 1.52E-6 0.21168248
77 1.54E-6 0.18771842
78 1.56E-6 0.20569146
79 1.58E-6 0.1757364
80 1.6E-6 0.18572142
81 1.62E-6 0.17373939
82 1.64E-6 0.16575137
83 1.66E-6 0.15376935
84 1.68E-6 0.14777833
85 1.7E-6 0.16175736
86 1.72E-6 0.15177234
87 1.74E-6 0.15776336
88 1.76E-6 0.13779331
89 1.78E-6 0.14378432
90 1.8E-6 0.12181727
91 1.82E-6 0.12980529
92 1.84E-6 0.12980529
93 1.86E-6 0.1318023
94 1.88E-6 0.13579631
95 1.9E-6 0.11982027
96 1.92E-6 0.11982027
97 1.94E-6 0.11982027
98 1.96E-6 0.11782327
99 1.98E-6 0.10783824
100 2E-6 0.10783824
101 2.02E-6 0.10384423
102 2.04E-6 0.11382926
