ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-05-16 16:13:01 720m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 1.0264603
1 2E-8 1.797304
2 4E-8 -1.9830255
3 6E-8 -1.8751872
4 8E-8 0.22765851
5 1E-7 -1.9730404
6 1.2E-7 1.6035946
7 1.4E-7 -1.7353969
8 1.6E-7 -1.1323015
9 1.8E-7 0.15177234
10 2E-7 0.27358962
11 2.2E-7 -0.75087369
12 2.4E-7 -0.28357464
13 2.6E-7 0.1337993
14 2.8E-7 0.1777334
15 3E-7 0.049925112
16 3.2E-7 -0.10184723
17 3.4E-7 0.0099850225
18 3.6E-7 -0.0099850225
19 3.8E-7 0.24363455
20 4E-7 0.19370944
21 4.2E-7 0.20369446
22 4.4E-7 0.0019970045
23 4.6E-7 0.20169745
24 4.8E-7 0.29156266
25 5E-7 0.10184723
26 5.2E-7 0.10384423
27 5.4E-7 0.27958063
28 5.6E-7 0.19370944
29 5.8E-7 0.24762856
30 6E-7 0.1797304
31 6.2E-7 0.15776336
32 6.4E-7 0.14178732
33 6.6E-7 0.25961058
34 6.8E-7 0.10184723
35 7E-7 0.15376935
36 7.2E-7 0.30753869
37 7.4E-7 -0.29555667
38 7.6E-7 0.7568647
39 7.8E-7 -0.059910135
40 8E-7 0.15376935
41 8.2E-7 0.2656016
42 8.4E-7 0.30753869
43 8.6E-7 -0.015976036
44 8.8E-7 0.36545182
45 9E-7 0.035946081
46 9.2E-7 0.34148777
47 9.4E-7 0.10184723
48 9.6E-7 0.31352971
49 9.8E-7 0.15177234
50 1E-6 0.19770345
51 1.02E-6 0.1757364
52 1.04E-6 0.23764354
53 1.06E-6 0.2656016
54 1.08E-6 0.20968547
55 1.1E-6 0.25761358
56 1.12E-6 0.22566151
57 1.14E-6 0.23564653
58 1.16E-6 0.23764354
59 1.18E-6 0.25961058
60 1.2E-6 0.21367948
61 1.22E-6 0.23564653
62 1.24E-6 0.23964054
63 1.26E-6 0.23964054
64 1.28E-6 0.22765851
65 1.3E-6 0.23564653
66 1.32E-6 0.21967049
67 1.34E-6 0.21767349
68 1.36E-6 0.21367948
69 1.38E-6 0.20569146
70 1.4E-6 0.20169745
71 1.42E-6 0.20569146
72 1.44E-6 0.20968547
73 1.46E-6 0.19370944
74 1.48E-6 0.18971543
75 1.5E-6 0.18372441
76 1.52E-6 0.1757364
77 1.54E-6 0.1757364
78 1.56E-6 0.18572142
79 1.58E-6 0.16974538
80 1.6E-6 0.16575137
81 1.62E-6 0.16175736
82 1.64E-6 0.16575137
83 1.66E-6 0.15576635
84 1.68E-6 0.15177234
85 1.7E-6 0.14178732
86 1.72E-6 0.15376935
87 1.74E-6 0.15376935
88 1.76E-6 0.14977534
89 1.78E-6 0.13779331
90 1.8E-6 0.13779331
91 1.82E-6 0.13779331
92 1.84E-6 0.12980529
93 1.86E-6 0.14378432
94 1.88E-6 0.13979031
95 1.9E-6 0.1318023
96 1.92E-6 0.14378432
97 1.94E-6 0.12381428
98 1.96E-6 0.13779331
99 1.98E-6 0.12181727
100 2E-6 0.12181727
101 2.02E-6 0.12181727
102 2.04E-6 0.11782327
