ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-05-16 16:57:02 565m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 1.3225481
1 2E-8 0.77249749
2 4E-8 -1.8766431
3 6E-8 -1.6056623
4 8E-8 1.3589485
5 1E-7 -2.2082913
6 1.2E-7 1.8806876
7 1.4E-7 -2.2325582
8 1.6E-7 -0.90596564
9 1.8E-7 0.34782609
10 2E-7 -0.69969668
11 2.2E-7 -1.1081901
12 2.4E-7 -0.68756321
13 2.6E-7 0.50151669
14 2.8E-7 -0.5379171
15 3E-7 0.47320527
16 3.2E-7 -0.62285138
17 3.4E-7 0.18604652
18 3.6E-7 -0.18604652
19 3.8E-7 0.17795754
20 4E-7 0.28311426
21 4.2E-7 -0.14155713
22 4.4E-7 0.24671386
23 4.6E-7 0.0040444895
24 4.8E-7 0.39635997
25 5E-7 -0.097067747
26 5.2E-7 0.12537917
27 5.4E-7 0.32355916
28 5.6E-7 0.068756321
29 5.8E-7 0.32760365
30 6E-7 0.064711832
31 6.2E-7 0.2669363
32 6.4E-7 0.040444895
33 6.6E-7 0.32355916
34 6.8E-7 0.048533874
35 7E-7 0.11729019
36 7.2E-7 0.32760365
37 7.4E-7 -0.50960567
38 7.6E-7 1.0798787
39 7.8E-7 -0.33164814
40 8E-7 0.28311426
41 8.2E-7 0.16986856
42 8.4E-7 0.43276037
43 8.6E-7 -0.20222447
44 8.8E-7 0.51365016
45 9E-7 -0.028311426
46 9.2E-7 0.37613752
47 9.4E-7 0.10920122
48 9.6E-7 0.28715875
49 9.8E-7 0.21840243
50 1E-6 0.10515673
51 1.02E-6 0.31142569
52 1.04E-6 0.17795754
53 1.06E-6 0.32355916
54 1.08E-6 0.18200203
55 1.1E-6 0.27098079
56 1.12E-6 0.2669363
57 1.14E-6 0.19009101
58 1.16E-6 0.29929222
59 1.18E-6 0.20626896
60 1.2E-6 0.27098079
61 1.22E-6 0.19817998
62 1.24E-6 0.2669363
63 1.26E-6 0.19413549
64 1.28E-6 0.21840243
65 1.3E-6 0.27502528
66 1.32E-6 0.16177958
67 1.34E-6 0.23458039
68 1.36E-6 0.16986856
69 1.38E-6 0.21435794
70 1.4E-6 0.16986856
71 1.42E-6 0.19817998
72 1.44E-6 0.14560162
73 1.46E-6 0.19817998
74 1.48E-6 0.15773509
75 1.5E-6 0.14155713
76 1.52E-6 0.16986856
77 1.54E-6 0.13346815
78 1.56E-6 0.15773509
79 1.58E-6 0.13346815
80 1.6E-6 0.13346815
81 1.62E-6 0.12537917
82 1.64E-6 0.12942366
83 1.66E-6 0.12133468
84 1.68E-6 0.0768453
85 1.7E-6 0.16177958
86 1.72E-6 0.07280081
87 1.74E-6 0.11729019
88 1.76E-6 0.10111224
89 1.78E-6 0.11729019
90 1.8E-6 0.044489384
91 1.82E-6 0.12537917
92 1.84E-6 0.07280081
93 1.86E-6 0.088978768
94 1.88E-6 0.084934279
95 1.9E-6 0.084934279
96 1.92E-6 0.084934279
97 1.94E-6 0.0768453
98 1.96E-6 0.0768453
99 1.98E-6 0.068756321
100 2E-6 0.060667342
101 2.02E-6 0.0768453
102 2.04E-6 0.064711832
