ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-05-17 15:24:54 412m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 0.37743385
1 2E-8 2.1407888
2 4E-8 -1.2401398
3 6E-8 -0.11582626
4 8E-8 -0.76684973
5 1E-7 -1.2341488
6 1.2E-7 1.0024963
7 1.4E-7 -1.4218672
8 1.6E-7 0.093859211
9 1.8E-7 -0.3095357
10 2E-7 0.089865202
11 2.2E-7 -0.6210684
12 2.4E-7 0.39141288
13 2.6E-7 -0.20169745
14 2.8E-7 0.051922117
15 3E-7 -0.003994009
16 3.2E-7 0.031952072
17 3.4E-7 -0.077883175
18 3.6E-7 0.12581128
19 3.8E-7 0.13779331
20 4E-7 0.05791313
21 4.2E-7 0.12381428
22 4.4E-7 0.065901148
23 4.6E-7 0.14977534
24 4.8E-7 0.14378432
25 5E-7 0.031952072
26 5.2E-7 0.10184723
27 5.4E-7 0.15776336
28 5.6E-7 0.10184723
29 5.8E-7 0.12780829
30 6E-7 0.15177234
31 6.2E-7 0.071892162
32 6.4E-7 0.11382926
33 6.6E-7 0.17174239
34 6.8E-7 0.045931103
35 7E-7 0.13779331
36 7.2E-7 0.19770345
37 7.4E-7 -0.061907139
38 7.6E-7 0.47129306
39 7.8E-7 -0.20169745
40 8E-7 0.28756865
41 8.2E-7 0.14578133
42 8.4E-7 0.12581128
43 8.6E-7 0.059910135
44 8.8E-7 0.22965552
45 9E-7 0.053919121
46 9.2E-7 0.15976036
47 9.4E-7 0.1777334
48 9.6E-7 0.12980529
49 9.8E-7 0.1318023
50 1E-6 0.12181727
51 1.02E-6 0.13979031
52 1.04E-6 0.16175736
53 1.06E-6 0.16575137
54 1.08E-6 0.14977534
55 1.1E-6 0.16375437
56 1.12E-6 0.14578133
57 1.14E-6 0.14178732
58 1.16E-6 0.1757364
59 1.18E-6 0.16175736
60 1.2E-6 0.14977534
61 1.22E-6 0.15776336
62 1.24E-6 0.15976036
63 1.26E-6 0.13979031
64 1.28E-6 0.15376935
65 1.3E-6 0.15576635
66 1.32E-6 0.13579631
67 1.34E-6 0.13979031
68 1.36E-6 0.14178732
69 1.38E-6 0.1318023
70 1.4E-6 0.12980529
71 1.42E-6 0.14378432
72 1.44E-6 0.12581128
73 1.46E-6 0.12181727
74 1.48E-6 0.12581128
75 1.5E-6 0.11782327
76 1.52E-6 0.11782327
77 1.54E-6 0.11582626
78 1.56E-6 0.11183225
79 1.58E-6 0.10783824
80 1.6E-6 0.10584124
81 1.62E-6 0.10584124
82 1.64E-6 0.10184723
83 1.66E-6 0.099850225
84 1.68E-6 0.093859211
85 1.7E-6 0.091862207
86 1.72E-6 0.089865202
87 1.74E-6 0.093859211
88 1.76E-6 0.087868198
89 1.78E-6 0.085871193
90 1.8E-6 0.083874189
91 1.82E-6 0.07988018
92 1.84E-6 0.077883175
93 1.86E-6 0.081877184
94 1.88E-6 0.081877184
95 1.9E-6 0.075886171
96 1.92E-6 0.073889166
97 1.94E-6 0.073889166
98 1.96E-6 0.069895157
99 1.98E-6 0.071892162
100 2E-6 0.067898153
101 2.02E-6 0.067898153
102 2.04E-6 0.073889166
