ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-05-17 16:23:38 128m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 1.4198702
1 2E-8 1.5736395
2 4E-8 -2.2765851
3 6E-8 -1.2041937
4 8E-8 0.5351972
5 1E-7 -0.89865202
6 1.2E-7 0.15776336
7 1.4E-7 -0.53719421
8 1.6E-7 0.15776336
9 1.8E-7 0.071892162
10 2E-7 -0.16175736
11 2.2E-7 -0.14977534
12 2.4E-7 -0.025961058
13 2.6E-7 0.073889166
14 2.8E-7 -0.025961058
15 3E-7 0
16 3.2E-7 -0.0059910135
17 3.4E-7 -0.029955067
18 3.6E-7 0.049925112
19 3.8E-7 0.05791313
20 4E-7 0.031952072
21 4.2E-7 0.029955067
22 4.4E-7 0.035946081
23 4.6E-7 0.089865202
24 4.8E-7 0.045931103
25 5E-7 -0.0059910135
26 5.2E-7 0.05791313
27 5.4E-7 0.085871193
28 5.6E-7 0.051922117
29 5.8E-7 0.063904144
30 6E-7 0.041937094
31 6.2E-7 0.021967049
32 6.4E-7 0.05791313
33 6.6E-7 0.063904144
34 6.8E-7 -0.037943085
35 7E-7 0.18172741
36 7.2E-7 -0.059910135
37 7.4E-7 0.011982027
38 7.6E-7 0.20169745
39 7.8E-7 -0.12581128
40 8E-7 0.14977534
41 8.2E-7 0.075886171
42 8.4E-7 0.01797304
43 8.6E-7 0.035946081
44 8.8E-7 0.085871193
45 9E-7 0.01797304
46 9.2E-7 0.067898153
47 9.4E-7 0.085871193
48 9.6E-7 0.045931103
49 9.8E-7 0.047928108
50 1E-6 0.035946081
51 1.02E-6 0.063904144
52 1.04E-6 0.083874189
53 1.06E-6 0.067898153
54 1.08E-6 0.071892162
55 1.1E-6 0.065901148
56 1.12E-6 0.05791313
57 1.14E-6 0.065901148
58 1.16E-6 0.077883175
59 1.18E-6 0.067898153
60 1.2E-6 0.059910135
61 1.22E-6 0.065901148
62 1.24E-6 0.065901148
63 1.26E-6 0.063904144
64 1.28E-6 0.065901148
65 1.3E-6 0.071892162
66 1.32E-6 0.063904144
67 1.34E-6 0.05791313
68 1.36E-6 0.065901148
69 1.38E-6 0.053919121
70 1.4E-6 0.05791313
71 1.42E-6 0.061907139
72 1.44E-6 0.063904144
73 1.46E-6 0.05791313
74 1.48E-6 0.053919121
75 1.5E-6 0.049925112
76 1.52E-6 0.047928108
77 1.54E-6 0.051922117
78 1.56E-6 0.055916126
79 1.58E-6 0.047928108
80 1.6E-6 0.049925112
81 1.62E-6 0.045931103
82 1.64E-6 0.049925112
83 1.66E-6 0.043934099
84 1.68E-6 0.043934099
85 1.7E-6 0.03994009
86 1.72E-6 0.041937094
87 1.74E-6 0.033949076
88 1.76E-6 0.037943085
89 1.78E-6 0.03994009
90 1.8E-6 0.035946081
91 1.82E-6 0.031952072
92 1.84E-6 0.033949076
93 1.86E-6 0.043934099
94 1.88E-6 0.031952072
95 1.9E-6 0.033949076
96 1.92E-6 0.033949076
97 1.94E-6 0.035946081
98 1.96E-6 0.029955067
99 1.98E-6 0.031952072
100 2E-6 0.025961058
101 2.02E-6 0.033949076
102 2.04E-6 0.033949076
