ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-05-17 16:14:33 719m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 1.8552172
1 2E-8 2.5302047
2 4E-8 -1.1083375
3 6E-8 -2.4283575
4 8E-8 1.0524214
5 1E-7 -2.0509236
6 1.2E-7 0.53719421
7 1.4E-7 -1.6834748
8 1.6E-7 0.20968547
9 1.8E-7 0.051922117
10 2E-7 -0.50923615
11 2.2E-7 -0.52121817
12 2.4E-7 -0.071892162
13 2.6E-7 0.041937094
14 2.8E-7 -0.041937094
15 3E-7 -0.095856216
16 3.2E-7 -0.063904144
17 3.4E-7 -0.073889166
18 3.6E-7 0.043934099
19 3.8E-7 0.10384423
20 4E-7 0.069895157
21 4.2E-7 0.051922117
22 4.4E-7 0.061907139
23 4.6E-7 0.15776336
24 4.8E-7 0.10783824
25 5E-7 -0.05791313
26 5.2E-7 0.071892162
27 5.4E-7 0.18971543
28 5.6E-7 0.10584124
29 5.8E-7 0.093859211
30 6E-7 0.095856216
31 6.2E-7 0.019970045
32 6.4E-7 0.091862207
33 6.6E-7 0.13579631
34 6.8E-7 -0.023964054
35 7E-7 0.22765851
36 7.2E-7 -0.083874189
37 7.4E-7 0.09785322
38 7.6E-7 0.29755367
39 7.8E-7 -0.19970045
40 8E-7 0.32950574
41 8.2E-7 0.055916126
42 8.4E-7 0.077883175
43 8.6E-7 0.087868198
44 8.8E-7 0.12980529
45 9E-7 0.067898153
46 9.2E-7 0.1318023
47 9.4E-7 0.15177234
48 9.6E-7 0.09785322
49 9.8E-7 0.095856216
50 1E-6 0.069895157
51 1.02E-6 0.10783824
52 1.04E-6 0.15976036
53 1.06E-6 0.14378432
54 1.08E-6 0.13779331
55 1.1E-6 0.1337993
56 1.12E-6 0.11982027
57 1.14E-6 0.13579631
58 1.16E-6 0.15976036
59 1.18E-6 0.13779331
60 1.2E-6 0.12780829
61 1.22E-6 0.14178732
62 1.24E-6 0.14378432
63 1.26E-6 0.1318023
64 1.28E-6 0.13579631
65 1.3E-6 0.13579631
66 1.32E-6 0.12181727
67 1.34E-6 0.12581128
68 1.36E-6 0.12980529
69 1.38E-6 0.11183225
70 1.4E-6 0.11582626
71 1.42E-6 0.11982027
72 1.44E-6 0.11382926
73 1.46E-6 0.11183225
74 1.48E-6 0.10184723
75 1.5E-6 0.095856216
76 1.52E-6 0.09785322
77 1.54E-6 0.099850225
78 1.56E-6 0.087868198
79 1.58E-6 0.085871193
80 1.6E-6 0.085871193
81 1.62E-6 0.081877184
82 1.64E-6 0.07988018
83 1.66E-6 0.081877184
84 1.68E-6 0.069895157
85 1.7E-6 0.073889166
86 1.72E-6 0.073889166
87 1.74E-6 0.069895157
88 1.76E-6 0.071892162
89 1.78E-6 0.063904144
90 1.8E-6 0.095856216
91 1.82E-6 0.055916126
92 1.84E-6 0.025961058
93 1.86E-6 0.053919121
94 1.88E-6 0.10983525
95 1.9E-6 -0.007988018
96 1.92E-6 0.083874189
97 1.94E-6 0.047928108
98 1.96E-6 0.041937094
99 1.98E-6 0.041937094
100 2E-6 0.043934099
101 2.02E-6 0.045931103
102 2.04E-6 0.033949076
