ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-06-01 15:56:02 274m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 0.02231405
1 2E-8 0.023553719
2 4E-8 0.023140496
3 6E-8 0.029752066
4 8E-8 0.026859504
5 1E-7 0.029752066
6 1.2E-7 0.030165289
7 1.4E-7 0.029752066
8 1.6E-7 0.030165289
9 1.8E-7 0.033471074
10 2E-7 0.034710744
11 2.2E-7 0.030991736
12 2.4E-7 0.034297521
13 2.6E-7 0.038016529
14 2.8E-7 0.03677686
15 3E-7 0.037190083
16 3.2E-7 0.040082645
17 3.4E-7 0.039669422
18 3.6E-7 0.037603306
19 3.8E-7 0.036363636
20 4E-7 0.034710744
21 4.2E-7 0.034297521
22 4.4E-7 0.037190083
23 4.6E-7 0.040495868
24 4.8E-7 0.041322314
25 5E-7 0.048760331
26 5.2E-7 0.052892562
27 5.4E-7 0.056198347
28 5.6E-7 0.059504132
29 5.8E-7 0.063223141
30 6E-7 0.067768595
31 6.2E-7 0.076033058
32 6.4E-7 0.080578512
33 6.6E-7 0.084710744
34 6.8E-7 0.088429752
35 7E-7 0.090909091
36 7.2E-7 0.097933884
37 7.4E-7 0.10454545
38 7.6E-7 0.10785124
39 7.8E-7 0.12024793
40 8E-7 0.12231405
41 8.2E-7 0.12603306
42 8.4E-7 0.13512397
43 8.6E-7 0.1392562
44 8.8E-7 0.15206612
45 9E-7 0.15206612
46 9.2E-7 0.16322314
47 9.4E-7 0.17355372
48 9.6E-7 0.18016529
49 9.8E-7 0.18677686
50 1E-6 0.19421488
51 1.02E-6 0.20206612
52 1.04E-6 0.20867769
53 1.06E-6 0.21446281
54 1.08E-6 0.2161157
55 1.1E-6 0.23264463
56 1.12E-6 0.23884298
57 1.14E-6 0.24297521
58 1.16E-6 0.24917355
59 1.18E-6 0.25165289
60 1.2E-6 0.25785124
61 1.22E-6 0.25495868
62 1.24E-6 0.26528926
63 1.26E-6 0.26900826
64 1.28E-6 0.26446281
65 1.3E-6 0.27231405
66 1.32E-6 0.27190083
67 1.34E-6 0.27520661
68 1.36E-6 0.27561983
69 1.38E-6 0.27975207
70 1.4E-6 0.28264463
71 1.42E-6 0.27768595
72 1.44E-6 0.28223141
73 1.46E-6 0.28677686
74 1.48E-6 0.2838843
75 1.5E-6 0.28553719
76 1.52E-6 0.28966942
77 1.54E-6 0.28636364
78 1.56E-6 0.28677686
79 1.58E-6 0.29297521
80 1.6E-6 0.29090909
81 1.62E-6 0.29132231
82 1.64E-6 0.29090909
83 1.66E-6 0.29421488
84 1.68E-6 0.29586777
85 1.7E-6 0.2946281
86 1.72E-6 0.29545455
87 1.74E-6 0.3
88 1.76E-6 0.29710744
89 1.78E-6 0.30123967
90 1.8E-6 0.3
91 1.82E-6 0.30743802
92 1.84E-6 0.30330579
93 1.86E-6 0.30123967
94 1.88E-6 0.30413223
95 1.9E-6 0.30743802
96 1.92E-6 0.30785124
97 1.94E-6 0.31033058
98 1.96E-6 0.31280992
99 1.98E-6 0.3107438
100 2E-6 0.30743802
101 2.02E-6 0.3107438
102 2.04E-6 0.31115702
103 2.06E-6 0.31033058
