ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-05-16 14:28:17 485m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 0.82276585
1 2E-8 0.52920619
2 4E-8 1.9810285
3 6E-8 0.79480779
4 8E-8 -1.1722416
5 1E-7 -1.5476785
6 1.2E-7 -1.318023
7 1.4E-7 0.027958063
8 1.6E-7 -0.95057414
9 1.8E-7 0.22566151
10 2E-7 -0.52521218
11 2.2E-7 0.067898153
12 2.4E-7 -0.26959561
13 2.6E-7 0.077883175
14 2.8E-7 -0.067898153
15 3E-7 0.021967049
16 3.2E-7 0.0059910135
17 3.4E-7 -0.027958063
18 3.6E-7 0.051922117
19 3.8E-7 0.025961058
20 4E-7 0.14977534
21 4.2E-7 0.059910135
22 4.4E-7 0.075886171
23 4.6E-7 0.025961058
24 4.8E-7 0.01797304
25 5E-7 0.003994009
26 5.2E-7 -0.037943085
27 5.4E-7 0.033949076
28 5.6E-7 -0.035946081
29 5.8E-7 0
30 6E-7 -0.063904144
31 6.2E-7 -0.041937094
32 6.4E-7 -0.067898153
33 6.6E-7 -0.067898153
34 6.8E-7 -0.063904144
35 7E-7 -0.13779331
36 7.2E-7 -0.025961058
37 7.4E-7 -0.043934099
38 7.6E-7 -0.14178732
39 7.8E-7 -0.067898153
40 8E-7 -0.053919121
41 8.2E-7 -0.11382926
42 8.4E-7 -0.0059910135
43 8.6E-7 -0.075886171
44 8.8E-7 -0.085871193
45 9E-7 -0.053919121
46 9.2E-7 -0.081877184
47 9.4E-7 -0.033949076
48 9.6E-7 -0.031952072
49 9.8E-7 -0.035946081
50 1E-6 -0.029955067
51 1.02E-6 -0.031952072
52 1.04E-6 -0.013979031
53 1.06E-6 0.0059910135
54 1.08E-6 0.0019970045
55 1.1E-6 0.003994009
56 1.12E-6 0.007988018
57 1.14E-6 0.011982027
58 1.16E-6 0.019970045
59 1.18E-6 0.025961058
60 1.2E-6 0.029955067
61 1.22E-6 0.025961058
62 1.24E-6 0.023964054
63 1.26E-6 0.027958063
64 1.28E-6 0.029955067
65 1.3E-6 0.033949076
66 1.32E-6 0.027958063
67 1.34E-6 0.023964054
68 1.36E-6 0.025961058
69 1.38E-6 0.025961058
70 1.4E-6 0.021967049
71 1.42E-6 0.0099850225
72 1.44E-6 0.013979031
73 1.46E-6 0.013979031
74 1.48E-6 0.013979031
75 1.5E-6 0.0059910135
76 1.52E-6 0.003994009
77 1.54E-6 0.0019970045
78 1.56E-6 0.003994009
79 1.58E-6 0.0019970045
80 1.6E-6 -0.0099850225
81 1.62E-6 -0.003994009
82 1.64E-6 -0.0059910135
83 1.66E-6 0
84 1.68E-6 -0.003994009
85 1.7E-6 0
86 1.72E-6 -0.003994009
87 1.74E-6 -0.0019970045
88 1.76E-6 0.0019970045
89 1.78E-6 -0.0019970045
90 1.8E-6 0.0019970045
91 1.82E-6 0.0019970045
92 1.84E-6 0.0099850225
93 1.86E-6 0.007988018
94 1.88E-6 0.007988018
95 1.9E-6 0.01797304
96 1.92E-6 0.0059910135
97 1.94E-6 0.0099850225
98 1.96E-6 0.01797304
99 1.98E-6 0.01797304
100 2E-6 0.021967049
