ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-06-01 15:01:49 908m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 0.71587464
1 2E-8 -0.4974722
2 4E-8 0.16986856
3 6E-8 -0.12942366
4 8E-8 -0.48533874
5 1E-7 0.28311426
6 1.2E-7 -0.27098079
7 1.4E-7 0.10920122
8 1.6E-7 -0.0080889789
9 1.8E-7 -0.016177958
10 2E-7 -0.084934279
11 2.2E-7 0.012133468
12 2.4E-7 -0.036400405
13 2.6E-7 0.040444895
14 2.8E-7 -0.012133468
15 3E-7 0.036400405
16 3.2E-7 -0.0080889789
17 3.4E-7 0.020222447
18 3.6E-7 -0.020222447
19 3.8E-7 -0.016177958
20 4E-7 0.016177958
21 4.2E-7 0.024266937
22 4.4E-7 -0.012133468
23 4.6E-7 0.036400405
24 4.8E-7 -0.0080889789
25 5E-7 -0.036400405
26 5.2E-7 0.012133468
27 5.4E-7 -0.040444895
28 5.6E-7 -0.056622853
29 5.8E-7 0.16582407
30 6E-7 -0.22244692
31 6.2E-7 -0.084934279
32 6.4E-7 0.62285138
33 6.6E-7 -0.5743175
34 6.8E-7 0.28311426
35 7E-7 0.10920122
36 7.2E-7 -0.052578363
37 7.4E-7 -0.024266937
38 7.6E-7 0.12942366
39 7.8E-7 -0.056622853
40 8E-7 0.064711832
41 8.2E-7 0.020222447
42 8.4E-7 0.040444895
43 8.6E-7 -0.012133468
44 8.8E-7 0
45 9E-7 0.020222447
46 9.2E-7 0.0040444895
47 9.4E-7 -0.016177958
48 9.6E-7 0.028311426
49 9.8E-7 0.016177958
50 1E-6 0.012133468
51 1.02E-6 -0.0040444895
52 1.04E-6 0
53 1.06E-6 0.020222447
54 1.08E-6 -0.024266937
55 1.1E-6 0.0040444895
56 1.12E-6 -0.0040444895
57 1.14E-6 -0.016177958
58 1.16E-6 0.0080889789
59 1.18E-6 0
60 1.2E-6 -0.0080889789
61 1.22E-6 -0.016177958
62 1.24E-6 0
63 1.26E-6 -0.0040444895
64 1.28E-6 -0.0040444895
65 1.3E-6 0
66 1.32E-6 -0.0080889789
67 1.34E-6 -0.0080889789
68 1.36E-6 -0.0040444895
69 1.38E-6 0.0080889789
70 1.4E-6 -0.0040444895
71 1.42E-6 0
72 1.44E-6 -0.028311426
73 1.46E-6 -0.0080889789
74 1.48E-6 0.0080889789
75 1.5E-6 0.0080889789
76 1.52E-6 -0.012133468
77 1.54E-6 -0.0040444895
78 1.56E-6 -0.0040444895
79 1.58E-6 0
80 1.6E-6 0.0040444895
81 1.62E-6 -0.0080889789
82 1.64E-6 0.0080889789
83 1.66E-6 0.0080889789
84 1.68E-6 0.024266937
85 1.7E-6 0.0080889789
86 1.72E-6 0.0040444895
87 1.74E-6 0
88 1.76E-6 0.024266937
89 1.78E-6 0.012133468
90 1.8E-6 0.040444895
91 1.82E-6 0.0080889789
92 1.84E-6 0.0040444895
93 1.86E-6 0.020222447
94 1.88E-6 0.012133468
95 1.9E-6 0.024266937
96 1.92E-6 0.028311426
97 1.94E-6 0.028311426
98 1.96E-6 0.0080889789
99 1.98E-6 0.016177958
100 2E-6 0.036400405
