ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-06-01 14:39:42 628m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 1.0010091
1 2E-8 0.34308779
2 4E-8 0.87386477
3 6E-8 -0.1987891
4 8E-8 -0.29667003
5 1E-7 -0.18365287
6 1.2E-7 0.036326942
7 1.4E-7 0.16649848
8 1.6E-7 -0.13017154
9 1.8E-7 0.21796165
10 2E-7 -0.19677094
11 2.2E-7 0.027245207
12 2.4E-7 0
13 2.6E-7 0.012108981
14 2.8E-7 0.054490413
15 3E-7 0.015136226
16 3.2E-7 0.0090817355
17 3.4E-7 -0.015136226
18 3.6E-7 0.032290615
19 3.8E-7 0.017154389
20 4E-7 0.02320888
21 4.2E-7 0.03531786
22 4.4E-7 0.02926337
23 4.6E-7 0.02926337
24 4.8E-7 0.020181634
25 5E-7 0.0060544903
26 5.2E-7 0.027245207
27 5.4E-7 0.018163471
28 5.6E-7 0.02320888
29 5.8E-7 0.031281533
30 6E-7 0.021190716
31 6.2E-7 0.014127144
32 6.4E-7 0.011099899
33 6.6E-7 0.0080726538
34 6.8E-7 -0.05247225
35 7E-7 0.14127144
36 7.2E-7 -0.016145308
37 7.4E-7 -0.18264379
38 7.6E-7 0.20080726
39 7.8E-7 0.016145308
40 8E-7 -0.085771946
41 8.2E-7 0.11402623
42 8.4E-7 0.074672048
43 8.6E-7 -0.047426841
44 8.8E-7 0.059535822
45 9E-7 0.019172553
46 9.2E-7 0.016145308
47 9.4E-7 0.034308779
48 9.6E-7 0.049445004
49 9.8E-7 0.030272452
50 1E-6 0.013118062
51 1.02E-6 0.018163471
52 1.04E-6 0.022199798
53 1.06E-6 0.041372351
54 1.08E-6 0.025227043
55 1.1E-6 0.030272452
56 1.12E-6 0.030272452
57 1.14E-6 0.019172553
58 1.16E-6 0.033299697
59 1.18E-6 0.037336024
60 1.2E-6 0.030272452
61 1.22E-6 0.017154389
62 1.24E-6 0.025227043
63 1.26E-6 0.026236125
64 1.28E-6 0.02320888
65 1.3E-6 0.028254288
66 1.32E-6 0.034308779
67 1.34E-6 0.012108981
68 1.36E-6 0.027245207
69 1.38E-6 0.040363269
70 1.4E-6 0.018163471
71 1.42E-6 0.026236125
72 1.44E-6 0.034308779
73 1.46E-6 0.022199798
74 1.48E-6 0.024217961
75 1.5E-6 0.022199798
76 1.52E-6 0.021190716
77 1.54E-6 0.024217961
78 1.56E-6 0.032290615
79 1.58E-6 0.025227043
80 1.6E-6 0.018163471
81 1.62E-6 0.024217961
82 1.64E-6 0.024217961
83 1.66E-6 0.036326942
84 1.68E-6 0.030272452
85 1.7E-6 0.027245207
86 1.72E-6 0.028254288
87 1.74E-6 0.016145308
88 1.76E-6 0.033299697
89 1.78E-6 0.03531786
90 1.8E-6 0.039354187
91 1.82E-6 0.019172553
92 1.84E-6 0.03531786
93 1.86E-6 0.024217961
94 1.88E-6 0.027245207
95 1.9E-6 0.031281533
96 1.92E-6 0.026236125
97 1.94E-6 0.028254288
98 1.96E-6 0.02926337
99 1.98E-6 0.027245207
100 2E-6 0.02320888
101 2.02E-6 0.031281533
102 2.04E-6 0.039354187
