ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-06-01 15:54:27 205m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 0.7840565
1 2E-8 0.87285569
2 4E-8 0.24722502
3 6E-8 -0.85771946
4 8E-8 -1.0655903
5 1E-7 -0.14228052
6 1.2E-7 0.7396569
7 1.4E-7 0.7951564
8 1.6E-7 -0.037336024
9 1.8E-7 -0.55903127
10 2E-7 -0.45105953
11 2.2E-7 0.14833501
12 2.4E-7 0.51967709
13 2.6E-7 0.37436932
14 2.8E-7 -0.011099899
15 3E-7 -0.20181634
16 3.2E-7 0.0090817355
17 3.4E-7 0.37436932
18 3.6E-7 0.57517658
19 3.8E-7 0.48536831
20 4E-7 0.28960645
21 4.2E-7 0.25832492
22 4.4E-7 0.45509586
23 4.6E-7 0.69727547
24 4.8E-7 0.78910191
25 5E-7 0.72452068
26 5.2E-7 0.64076689
27 5.4E-7 0.66296669
28 5.6E-7 0.79717456
29 5.8E-7 0.91523712
30 6E-7 0.94651866
31 6.2E-7 0.90716447
32 6.4E-7 0.88193743
33 6.6E-7 0.85469222
34 6.8E-7 1.0877901
35 7E-7 1.0837538
36 7.2E-7 1.0322906
37 7.4E-7 1.1170535
38 7.6E-7 1.0696266
39 7.8E-7 1.110999
40 8E-7 1.2270434
41 8.2E-7 1.209889
42 8.4E-7 1.2421796
43 8.6E-7 1.2603431
44 8.8E-7 1.2462159
45 9E-7 1.3107972
46 9.2E-7 1.3229061
47 9.4E-7 1.3410696
48 9.6E-7 1.3360242
49 9.8E-7 1.29667
50 1E-6 1.2815338
51 1.02E-6 1.2704339
52 1.04E-6 1.2411705
53 1.06E-6 1.1937437
54 1.08E-6 1.1190716
55 1.1E-6 1.0221998
56 1.12E-6 0.9273461
57 1.14E-6 0.8446014
58 1.16E-6 0.76286578
59 1.18E-6 0.66397577
60 1.2E-6 0.56407668
61 1.22E-6 0.45105953
62 1.24E-6 0.3531786
63 1.26E-6 0.26437941
64 1.28E-6 0.18466196
65 1.3E-6 0.10393542
66 1.32E-6 0.016145308
67 1.34E-6 -0.075681129
68 1.36E-6 -0.15640767
69 1.38E-6 -0.23410696
70 1.4E-6 -0.29868819
71 1.42E-6 -0.37033299
72 1.44E-6 -0.44399596
73 1.46E-6 -0.51463168
74 1.48E-6 -0.58930373
75 1.5E-6 -0.65893037
76 1.52E-6 -0.73158425
77 1.54E-6 -0.79717456
78 1.56E-6 -0.87285569
79 1.58E-6 -0.94248233
80 1.6E-6 -1.012109
81 1.62E-6 -1.074672
82 1.64E-6 -1.1382442
83 1.66E-6 -1.1886983
84 1.68E-6 -1.2280525
85 1.7E-6 -1.2613522
86 1.72E-6 -1.2785065
87 1.74E-6 -1.2825429
88 1.76E-6 -1.2885974
89 1.78E-6 -1.2805247
90 1.8E-6 -1.2774975
91 1.82E-6 -1.2663976
92 1.84E-6 -1.2371342
93 1.86E-6 -1.2058527
94 1.88E-6 -1.1745711
95 1.9E-6 -1.1271443
96 1.92E-6 -1.0807265
97 1.94E-6 -1.0272452
98 1.96E-6 -0.96972754
99 1.98E-6 -0.9001009
100 2E-6 -0.83753783
